"ID","Название","Цена RU (₽)","Цена US ($)","Цена DE (€)","Описание"
"Donation_25","Поддержать игру — 25","25","0.49","0.49","Добровольная поддержка проекта без игрового преимущества. Начисляет 25 очков в лидерборд донатеров после подтверждённой покупки."
"Donation_100","Поддержать игру — 100","100","0.99","0.99","Добровольная поддержка проекта без игрового преимущества. Начисляет 100 очков в лидерборд донатеров после подтверждённой покупки."
"Donation_500","Поддержать игру — 500","500","4.99","4.99","Добровольная поддержка проекта без игрового преимущества. Начисляет 500 очков в лидерборд донатеров после подтверждённой покупки."
"currency_gems_100","100 алмазов","79","0.99","0.99","Мгновенно выдаёт 100 алмазов после подтверждённой покупки."
"currency_gems_600","600 алмазов","349","3.99","3.99","Мгновенно выдаёт 600 алмазов после подтверждённой покупки."
"currency_gems_2000","2 000 алмазов","999","9.99","9.99","Мгновенно выдаёт 2 000 алмазов после подтверждённой покупки."
"limited_egg_1","1 лимитированное яйцо","169","1.99","1.99","Выдаёт 1 лимитированное яйцо с повышенным шансом стихийной мутации."
"limited_egg_3","3 лимитированных яйца","459","4.99","4.99","Выгодный набор из 3 лимитированных яиц с повышенным шансом стихийной мутации."
"limited_egg_10","10 лимитированных яиц","1399","14.99","14.99","Максимальный набор из 10 лимитированных яиц с лучшей ценой за одно яйцо."
"pass_30_days","Пакет на 30 дней","299","3.99","3.99","Отключает обязательную рекламу на 30 дней и выдаёт 20 алмазов за каждый ежедневный вход. Разовая покупка без автопродления."
"pass_60_days","Пакет на 60 дней","499","5.99","5.99","Отключает обязательную рекламу на 60 дней и выдаёт 25 алмазов за каждый ежедневный вход. Разовая покупка без автопродления."
"pass_90_days","Пакет на 90 дней","699","7.99","7.99","Отключает обязательную рекламу на 90 дней и выдаёт 30 алмазов за каждый ежедневный вход. Разовая покупка без автопродления."
"permanent_income_300","+300% монет навсегда","299","3.99","3.99","Постоянный суммируемый бонус +300% ко всему доходу фермы."
"permanent_offline_x5","Офлайн-доход ×5 навсегда","299","3.99","3.99","Постоянно умножает накопленный за отсутствие доход в 5 раз."
"permanent_mutation_x2","Мутации ×2 навсегда","499","5.99","5.99","Постоянно удваивает частоту появления стихийных яиц на конвейере."
"permanent_hatch_50","+50% к скорости вылупления","599","6.99","6.99","Постоянно ускоряет вылупление текущих и будущих яиц на 50%."
"permanent_luck_60","+60% к стихиям навсегда","999","9.99","9.99","Постоянно повышает шанс получения стихийных яиц на 60%."
