Key,Ru,En
UI/Conveyor/Title,Конвейер,Conveyor
UI/Conveyor/InfoTitle,Инфо,Info
UI/Conveyor/NewEgg,Новое яйцо,New egg
UI/Conveyor/CouldBeObtained,Можно получить,Could be obtained
UI/Conveyor/IncomeIncrease,Увеличение дохода:,Income increase:
UI/Conveyor/Active,Активно,Active
UI/Conveyor/NeedPrevLevel,Купите предыдущий уровень для разблокировки,Purchase the previous level to unlock
UI/Common/Activate,Активировать,Activate
UI/Inventory/BrainrotsTab,Брейнроты,Brainrots
UI/Inventory/EggsTab,Яйца,Eggs
UI/Inventory/FoodTab,Еда,Food
UI/Friends/Title,Друзья,Friends
UI/Friends/Nickname,Никнейм,Nickname
UI/Friends/YourId,Твой ID,Your ID
UI/Friends/CopyHint,Нажми чтобы скопировать,Tap to copy
UI/Friends/Copied,Скопировано,Copied
UI/Friends/AddFriend,Добавить друга,Add friend
UI/Friends/Add,Добавить,Add
UI/Friends/PasteFriendId,Вставить ID друга,Paste friend ID
UI/Friends/PlayerNotFoundById,Игрок с таким ID не найден,Player with this ID was not found
UI/Friends/InvalidName,Имя некорректно,Name is invalid
UI/Friends/EnterNewName,Введите новое имя,Enter new name
UI/Friends/Apply,Применить,Apply
UI/Friends/Visit,В гости,Visit
UI/Friends/Delete,Удалить,Remove
UI/Friends/StatusOnline,Онлайн,Online
UI/Friends/StatusOffline,Оффлайн,Offline
UI/Food/UntilRefresh,До обновления:,Until refresh:
UI/Food/RefreshFor,Обновить за,Refresh for
UI/Food/OutOfStock,Нет в наличии,Out of stock
UI/Food/Carrot,Морковь,Carrot
UI/Sell/Sell,Продать,Sell
UI/Home/Title,Дом,Home
